tweetId,originalTweetId,fromUser  ,fromUserId,  toUser, toUserId ,  interactTime, originalTime  , type
715550741952401408,715550741952401408,aimy_83,00000000000370477667,aimy_83,00000000000370477667,2016-03-31 14:46:05,2016-03-31 14:46:05,tweet
715589895671193605,5575547695247360,jolly_boy,00000000000100385444,null,null,2016-03-31 17:21:40,null,reply
715589895671193605,715589895671193605,jolly_boy,00000000000100385444,mayareddykp,00000000000217470300,2016-03-31 17:21:40,2016-03-31 17:21:40,mention
715552829067362304,715552829067362304,fayaib,00000000000169613282,fayaib,00000000000169613282,2016-03-31 14:54:23,2016-03-31 14:54:23,tweet
715590022360141824,715590022360141824,YewandeAdebesin,00000000000823196413,YewandeAdebesin,00000000000823196413,2016-03-31 17:22:11,2016-03-31 17:22:11,tweet
715613442191785988,715613442191785988,christeldulay,00000000001472372478,christeldulay,00000000001472372478,2016-03-31 18:55:14,2016-03-31 18:55:14,tweet
715552929873281024,5549057469517824,forrestmallard,00000000000018184208,null,null,2016-03-31 14:54:47,null,reply
715552929873281024,715552929873281024,forrestmallard,00000000000018184208,TourGuideCourse,00000000000319109249,2016-03-31 14:54:47,2016-03-31 14:54:47,mention
715550797027782656,715550709228380161,_bae_less,00000000003493773739,HanzalaOfficial,00000000002588948750,2016-03-31 14:46:18,2016-03-31 14:45:58,retweet
715613655434469376,715611943696867328,ytubday_suyoc_,00000000003993655394,rowenarr24,00704680527022788608,2016-03-31 18:56:05,2016-03-31 18:49:17,retweet
715613655434469376,715613655434469376,ytubday_suyoc_,00000000003993655394,tinaciriaco,00000000004493422578,2016-03-31 18:56:05,2016-03-31 18:56:05,mention
715552340015771648,715551852180414464,benginahmad,00000000000051729440,Android4ArCom,00000000000911191633,2016-03-31 14:52:26,2016-03-31 14:50:30,retweet
715553285625802752,5547388648230912,maitha211,00000000000395520245,null,null,2016-03-31 14:56:12,null,reply
715553285625802752,715553285625802752,maitha211,00000000000395520245,shi5hm_n,00000000004818005751,2016-03-31 14:56:12,2016-03-31 14:56:12,mention
715553315002720268,715553315002720268,OMRU21,00000000000332289163,OMRU21,00000000000332289163,2016-03-31 14:56:19,2016-03-31 14:56:19,tweet
715552133865725952,715552133865725952,Sosepho,00000000000367588346,Sosepho,00000000000367588346,2016-03-31 14:51:37,2016-03-31 14:51:37,tweet
715553309357129728,715510521575944192,Showman0007,00000000000588167859,BeingSalmanKhan,00000000000132385468,2016-03-31 14:56:17,2016-03-31 12:06:16,retweet
715613407215489026,715480116428562433,shawnjoie,00000000000051376787,FIFA_Cable,00000000000408004183,2016-03-31 18:55:06,2016-03-31 10:05:27,retweet
